Ref,Val,Package,PosX,PosY,Rot,Side
"R411","12k1 0.1%","R_0805_2012Metric",35.000000,-34.860000,90.000000,top
"R415","220R 1%","R_0805_2012Metric",39.000000,-34.860000,90.000000,top
"R421","12k1 0.1%","R_0805_2012Metric",58.000000,-34.860000,90.000000,top
"R431","1M 1%","R_0805_2012Metric",76.000000,-34.860000,90.000000,top
"R432","1M 1%","R_0805_2012Metric",83.900000,-34.860000,90.000000,top
"R441","22k 1%","R_0805_2012Metric",13.000000,-94.580000,90.000000,top
"R442","17k8 1%","R_0805_2012Metric",17.000000,-94.580000,90.000000,top
"R443","17k8 1%","R_0805_2012Metric",21.000000,-94.580000,90.000000,top
"R444","22k 1%","R_0805_2012Metric",25.000000,-94.580000,90.000000,top
"R451","10k 1%","R_0805_2012Metric",52.000000,-94.580000,90.000000,top
"R452","10k 1%","R_0805_2012Metric",56.000000,-94.580000,90.000000,top
"R453","10k 1%","R_0805_2012Metric",70.000000,-94.580000,90.000000,top
"R454","4k99 1%","R_0805_2012Metric",74.000000,-94.580000,90.000000,top
"R455","10k 1%","R_0805_2012Metric",78.000000,-94.580000,90.000000,top
"R456","22k 1%","R_0805_2012Metric",50.000000,-139.440000,90.000000,top
"R457","4k99 1%","R_0805_2012Metric",54.000000,-139.440000,90.000000,top
"R501","10k 0.1%","R_0805_2012Metric",13.000000,-42.480000,90.000000,top
"R502","10k 0.1%","R_0805_2012Metric",15.900000,-42.480000,90.000000,top
"R511","12k1 0.1%","R_0805_2012Metric",35.000000,-42.480000,90.000000,top
"R515","220R 1%","R_0805_2012Metric",39.000000,-42.480000,90.000000,top
"R521","12k1 0.1%","R_0805_2012Metric",58.000000,-42.480000,90.000000,top
"R531","1M 1%","R_0805_2012Metric",76.000000,-42.480000,90.000000,top
"R532","1M 1%","R_0805_2012Metric",83.900000,-42.480000,90.000000,top
"R541","22k 1%","R_0805_2012Metric",13.000000,-102.200000,90.000000,top
"R542","17k8 1%","R_0805_2012Metric",17.000000,-102.200000,90.000000,top
